"","V1","minusATR1","minusATR2","minusATR3","minusATR4","minusATR5","plusATR1","plusATR2","plusATR3","plusATR4","plusATR5","pval","qval","log2_b"
"7001","Chd64","396.30568615135","512.192915157204","369.629338910421","420.367321709305","389.953809787137","354.194135963206","352.790150906037","328.633077444324","337.73975027443","273.698212405965",0.00251148024636566,0.0358949748307033,-0.346072817559674
"10461","Mtr3","8.2415454330321","9.2060600721559","8.21705883540335","6.81989759941383","8.45855806520464","7.28154756036561","5.49410719812696","6.90692933660321","6.77248206742569","5.81237471240364",0.0960065256825427,0.331417839350225,-0.346253328215793
"12218","RpS10b","1207.50179104544","1734.27321523563","1106.75526549438","1008.17768756976","1054.01269143308","907.034268959187","819.75594239468","1274.38085931765","889.647977383672","919.636929041434",0.0555399048768001,0.241188824010444,-0.346500206066081
"11522","Poc1","1.30130673389093","1.42555815088035","0.670745701854873","1.52477695197171","1.82321398724941","1.37266969164919","0.969996218508101","0.939150614186127","0.501386900240236","1.50302552220642",0.515377027407885,0.769219514179719,-0.346544113554202
"10792","Non2","49.6265643108717","48.813929873445","39.81915743578","42.4240906251392","47.4090464483607","36.0337125802525","32.6938888473859","33.3860965069168","36.2132777677517","41.813135785036",0.00346467760228176,0.044688229697816,-0.346744283849226
"8021","Dpy-30L1","34.6959897168293","42.9166662784405","41.8652697110792","34.7891877623637","39.563906815855","24.7560514951783","34.4826823235953","29.3715695459972","32.0866451112025","33.5829754741522",0.0487581376872994,0.225644695113918,-0.346767645550446
"6505","CG7889","7.12573539732437","6.46451250548551","4.05733635741561","3.95295812974053","4.30414321163453","3.8910824115726","3.66537548462539","4.60880344549983","2.81984346907604","5.11926532091857",0.195171150473718,0.482396504525003,-0.346881767203016
"12837","spab","81.1461855576798","100.343884510868","86.5010266006083","66.2420397815538","81.5376994622011","60.1087102630922","67.0568668438527","60.5908021913553","57.1576410317708","83.9529832848663",0.0121551098395722,0.0980037948557876,-0.346892196677169
"2474","CG14710","9.88323847844179","11.9007913008423","13.053308888673","9.42708936664614","6.66065609848432","7.86056571116093","6.82295290932013","6.73937934606313","7.75078124660197","10.4188646858334",0.0826196528381019,0.305121375244366,-0.346975795277774
"8377","Fa2h","3.19910976927079","1.6216283810181","1.33961286168142","1.84499592083663","2.87226419847624","1.29826744108791","2.08714834956815","1.06633332863638","2.41360129883808","1.50314812223512",0.474528005674686,0.745931374703486,-0.347247521288695
"4960","CG42369","60.5552049512658","94.0467609402193","50.1837724762591","49.6776695360394","22.5826583932536","34.9146622266355","25.2073256798372","97.925338939866","36.3591604726895","31.317270359743",0.464736183802762,0.738883118118257,-0.347326579820757
"673","bic","372.28430281311","447.443090674879","319.595543028292","336.187285379569","346.731075549475","280.518745257674","256.787655133399","334.690678166693","282.027031290068","280.931884662975",0.00225598199849748,0.0336661929006547,-0.347413762430752
"10337","mRpS28","46.9520669824206","74.8123024198616","50.4142068145747","54.734533097025","53.5413842251226","44.1020099646756","44.0017831604945","44.1223783889323","48.6106518851459","39.1467473258479",0.017684721532926,0.122888130769002,-0.347573731608336
"6268","CG6961","10.9853446788612","9.36620721441619","12.9846852918201","7.75577068418677","12.1445110108717","7.7581498761134","10.5625725059818","8.02558996917366","7.96162426493798","7.24940689867812",0.0437662459347585,0.211141193598362,-0.347658546824239
"6532","CG7997","19.034216208511","28.2426902907148","25.0434433345349","22.6004377325657","17.4905303371278","10.7980839771713","15.7096607626921","28.8550617900721","19.3905263597576","17.0052639123086",0.184432026832501,0.470787015861909,-0.347690870699907
"10819","Npc2a","475.89329335232","617.920856069564","446.422369481312","449.974526373461","490.765519120831","370.234288417059","373.544666997404","354.363312127438","408.729225047998","458.481044141187",0.00132386751835748,0.0233916071180412,-0.347945669464992
