"","logFC","logCPM","F","PValue","FDR","flag"
"FBgn0001085",0.571949440807063,4.69026675158732,34.7569134889737,7.45196276621868e-05,0.00603750024520311,"NotSig"
"FBgn0000527",-0.748235406656133,5.0333206825616,34.752477573441,7.45583748354948e-05,0.00603750024520311,"DOWN"
"FBgn0058198",1.3628507849024,3.7751806384258,34.6997968328418,7.51132413644064e-05,0.00603750024520311,"UP"
"FBgn0028572",-0.545536556870429,8.61336244313336,34.4231463897561,7.7848258451825e-05,0.00619717049733326,"NotSig"
"FBgn0026199",0.759171483318299,6.64032848885352,34.3272622811157,7.88399911560154e-05,0.00621634558838716,"UP"
"FBgn0027525",-0.501977483859176,7.904043379598,33.9531664725541,8.28522577915054e-05,0.00644771135701852,"NotSig"
"FBgn0040666",-0.657000068952118,4.12827514653693,33.9121456905451,8.33319380602708e-05,0.00644771135701852,"DOWN"
"FBgn0260798",0.579282777895142,7.13757051884339,33.6954233580731,8.57558339100406e-05,0.00657381989760395,"NotSig"
"FBgn0053653",0.565126520626764,9.66160723212889,33.5311411195399,8.76684790190174e-05,0.00663072385522416,"NotSig"
"FBgn0264006",0.856101953611895,8.14721819905067,33.4342456392115,8.8820018181377e-05,0.00663072385522416,"UP"
"FBgn0037921",0.649009829456553,4.06525600040797,33.383177540626,8.94607706473377e-05,0.00663072385522416,"UP"
"FBgn0036544",0.743843804707943,7.70034137748426,33.3610373343152,8.97017842475064e-05,0.00663072385522416,"UP"
"FBgn0266958",0.979753101703936,3.22919363863713,33.2058365664642,9.16857338325032e-05,0.006717399915038,"UP"
"FBgn0050077",-0.723880876566277,4.13557220946332,32.9343283483734,9.50779197340309e-05,0.00683231437928335,"DOWN"
"FBgn0035710",0.403041600756352,6.99501669290186,32.9147312512024,9.53040535307273e-05,0.00683231437928335,"NotSig"
"FBgn0260722",0.658697651163205,4.7198782317552,32.8587451559403,9.60488198070129e-05,0.00683231437928335,"UP"
"FBgn0020386",0.411688150132969,7.98295308969446,32.819231939389,9.65552340108893e-05,0.00683231437928335,"NotSig"
"FBgn0033356",-0.405931479955454,6.30438434713988,32.6957632799401,9.82017920430648e-05,0.00688993759597062,"NotSig"
"FBgn0260400",0.600155918816353,7.90558452142347,32.5390343683211,0.000100338790946215,0.00698071302725807,"UP"
"FBgn0086443",-0.43814412406941,6.93692459220866,32.3473842474836,0.000103026660398484,0.00710798101199208,"NotSig"
"FBgn0041629",-0.538520937794848,5.65111079704311,32.1997876803231,0.000105156400923602,0.00716198602937994,"NotSig"
"FBgn0011224",0.605998458571168,8.2941083521935,32.1734067044197,0.000105539593620528,0.00716198602937994,"UP"
"FBgn0020767",0.472889031903308,7.6966546507273,32.0746829703426,0.000106997487203986,0.00720188777692518,"NotSig"
"FBgn0051998",0.532961046495411,7.46310704294611,31.8852723869901,0.000109860985768273,0.00728826081280325,"NotSig"
"FBgn0250819",0.66393538715446,7.63493488927441,31.856338987542,0.000110306226781401,0.00728826081280325,"UP"
"FBgn0011206",0.686100002590107,7.95456189538411,31.7764195869439,0.000111547076792178,0.00728826081280325,"UP"
"FBgn0262731",1.27462757623854,2.83072026007479,31.7715578343683,0.00011180204411475,0.00728826081280325,"UP"
"FBgn0024320",0.395563149041233,8.48211612866082,31.5849264194361,0.000114587247081259,0.0073563575699704,"NotSig"
"FBgn0001090",-0.502589047925199,8.75622110370921,31.501292761952,0.000115945346007067,0.0073563575699704,"NotSig"
"FBgn0250823",0.516797489149099,8.21095066397182,31.4766873214744,0.000116348495444732,0.0073563575699704,"NotSig"
"FBgn0040206",0.566028407939062,6.12746112433142,31.4682158665846,0.000116488101414013,0.0073563575699704,"NotSig"
