FBgn,logFC_edgeR,qval_edgeR,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0037472,0.0100553538921953,0.956333644349567,-0.00733286005230666,1,FALSE,FALSE,FALSE,ns_both,-0.01738821394450196,0.01738821394450196
FBgn0052485,7.3631458216271e-4,0.996839747492303,-0.016638597363291,1,FALSE,FALSE,FALSE,ns_both,-0.017374911945453708,0.017374911945453708
FBgn0027515,9.3644346909871e-4,0.994962576325872,-0.016437094232571,1,FALSE,FALSE,FALSE,ns_both,-0.01737353770166971,0.01737353770166971
FBgn0266724,0.0022797112400864002,0.993696436560846,-0.0150575366838589,1,FALSE,FALSE,FALSE,ns_both,-0.0173372479239453,0.0173372479239453
FBgn0042175,0.0172315571511545,0.971545533720632,0,1,FALSE,FALSE,FALSE,ns_both,-0.0172315571511545,0.0172315571511545
FBgn0050015,0.0170197127302555,0.953201376638992,-5.36612790545637e-7,1,FALSE,FALSE,FALSE,ns_both,-0.017020249343046048,0.017020249343046048
FBgn0011726,0.00431857672462204,0.981615498663238,-0.0126304773116215,1,FALSE,FALSE,FALSE,ns_both,-0.01694905403624354,0.01694905403624354
FBgn0260439,0.00245857527608184,0.984881328762457,-0.0144788214799177,1,FALSE,FALSE,FALSE,ns_both,-0.01693739675599954,0.01693739675599954
FBgn0029849,0.0150048685782179,0.950067111634191,-0.00192105336326082,1,FALSE,FALSE,FALSE,ns_both,-0.01692592194147872,0.01692592194147872
FBgn0000008,0.012471154541306,0.95083096126685,-0.00401881778852247,1,FALSE,FALSE,FALSE,ns_both,-0.01648997232982847,0.01648997232982847
FBgn0261573,0.00179337548066413,0.993168312846857,-0.0146515907184043,1,FALSE,FALSE,FALSE,ns_both,-0.01644496619906843,0.01644496619906843
FBgn0035601,0.0110329576680872,0.957922077747657,-0.0052938732008734404,1,FALSE,FALSE,FALSE,ns_both,-0.01632683086896064,0.01632683086896064
FBgn0035170,0.010763705961622,0.954713193686565,-0.00543384528614968,1,FALSE,FALSE,FALSE,ns_both,-0.01619755124777168,0.01619755124777168
FBgn0261439,0.00216658328268253,0.988574462962153,-0.0139942685120037,1,FALSE,FALSE,FALSE,ns_both,-0.01616085179468623,0.01616085179468623
FBgn0035087,0.00911923708017216,0.948530239333843,-0.00700526683777184,1,FALSE,FALSE,FALSE,ns_both,-0.016124503917944,0.016124503917944
FBgn0261786,0.0095943166614337,0.967740673041694,-0.00638352729233664,1,FALSE,FALSE,FALSE,ns_both,-0.01597784395377034,0.01597784395377034
FBgn0031260,0.0139879641767411,0.962737025196955,-0.00187497952555993,1,FALSE,FALSE,FALSE,ns_both,-0.01586294370230103,0.01586294370230103
FBgn0030731,0.00705198780465299,0.966619067761307,-0.00877171747729082,1,FALSE,FALSE,FALSE,ns_both,-0.01582370528194381,0.01582370528194381
FBgn0004055,0.00604400290657787,0.968649048367353,-0.00973700987070109,1,FALSE,FALSE,FALSE,ns_both,-0.01578101277727896,0.01578101277727896
FBgn0029123,0.00597360401007099,0.984881328762457,-0.00972834463494975,1,FALSE,FALSE,FALSE,ns_both,-0.01570194864502074,0.01570194864502074
FBgn0025700,0.00793949385869425,0.982394262143529,-0.00771214817820454,1,FALSE,FALSE,FALSE,ns_both,-0.01565164203689879,0.01565164203689879
FBgn0263934,0.00907615679610584,0.979248500006108,-0.00643778957727532,1,FALSE,FALSE,FALSE,ns_both,-0.01551394637338116,0.01551394637338116
FBgn0031814,0.00826056302674791,0.961588607240699,-0.00717453542637939,1,FALSE,FALSE,FALSE,ns_both,-0.0154350984531273,0.0154350984531273
FBgn0037659,0.00223354853646659,0.993011212482329,-0.0130528833770211,1,FALSE,FALSE,FALSE,ns_both,-0.01528643191348769,0.01528643191348769
FBgn0015790,0.0077130805572154,0.957265637337991,-0.00749236276706417,1,FALSE,FALSE,FALSE,ns_both,-0.015205443324279571,0.015205443324279571
FBgn0020255,0.0103683990142586,0.941797194530626,-0.00468528056687614,1,FALSE,FALSE,FALSE,ns_both,-0.01505367958113474,0.01505367958113474
FBgn0037917,0.00595053192310102,0.96908750055499,-0.00874163318251368,1,FALSE,FALSE,FALSE,ns_both,-0.014692165105614701,0.014692165105614701
FBgn0000667,0.0118470116121791,0.964387921758087,-0.00263133372916188,1,FALSE,FALSE,FALSE,ns_both,-0.01447834534134098,0.01447834534134098
FBgn0034290,0.0083152425793184,0.97757732514158,-0.0061071398356813,1,FALSE,FALSE,FALSE,ns_both,-0.014422382414999699,0.014422382414999699
FBgn0266599,0.0013760734435545,0.99288186961626,-0.0128685260938924,1,FALSE,FALSE,FALSE,ns_both,-0.014244599537446901,0.014244599537446901
FBgn0039229,0.00279037593106896,0.991730015409434,-0.0111668185009238,1,FALSE,FALSE,FALSE,ns_both,-0.01395719443199276,0.01395719443199276
FBgn0015360,0.00564003279690533,0.97579279972015,-0.00820789757175266,1,FALSE,FALSE,FALSE,ns_both,-0.01384793036865799,0.01384793036865799
FBgn0034717,0.00532302501507061,0.993327682211691,-0.00826377963153587,1,FALSE,FALSE,FALSE,ns_both,-0.01358680464660648,0.01358680464660648
FBgn0038387,6.127322400828e-4,0.997616891077075,-0.0129361533834754,1,FALSE,FALSE,FALSE,ns_both,-0.0135488856235582,0.0135488856235582
FBgn0036814,0.0077733288929024,0.979633539732363,-0.00573085848588378,1,FALSE,FALSE,FALSE,ns_both,-0.01350418737878618,0.01350418737878618
FBgn0032973,0.00799945143432134,0.988570568432852,-0.00498168490656248,1,FALSE,FALSE,FALSE,ns_both,-0.01298113634088382,0.01298113634088382
FBgn0264087,0.00677286894689274,0.965352179717051,-0.00618154326601555,1,FALSE,FALSE,FALSE,ns_both,-0.01295441221290829,0.01295441221290829
FBgn0004512,0.00309625312478815,0.992283564505545,-0.00982283084881036,1,FALSE,FALSE,FALSE,ns_both,-0.01291908397359851,0.01291908397359851
FBgn0034071,0.0028163627392772,0.988599160181146,-0.010064654773991,1,FALSE,FALSE,FALSE,ns_both,-0.0128810175132682,0.0128810175132682
FBgn0033247,0.0052238128781554,0.985227787996237,-0.00760828130717722,1,FALSE,FALSE,FALSE,ns_both,-0.01283209418533262,0.01283209418533262
FBgn0085279,0.0089861099946595,0.977674372170331,-0.00370890994064753,1,FALSE,FALSE,FALSE,ns_both,-0.01269501993530703,0.01269501993530703
FBgn0051716,0.00191499784299764,0.991401866559821,-0.0107493641702376,1,FALSE,FALSE,FALSE,ns_both,-0.01266436201323524,0.01266436201323524
FBgn0027497,7.8200346496172e-4,0.997446248920654,-0.0117144318346909,1,FALSE,FALSE,FALSE,ns_both,-0.01249643529965262,0.01249643529965262
FBgn0033339,0.0106130693808371,0.966619067761307,-0.00188171587920951,1,FALSE,FALSE,FALSE,ns_both,-0.01249478526004661,0.01249478526004661
