FBgn,logFC_Tutorial,qval_Tutorial,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0259732,-0.524006736323778,0.00244173431416413,0,1,FALSE,FALSE,FALSE,ns_both,0.524006736323778,0.524006736323778
FBgn0259733,-0.524006736323778,0.00244173431416413,0,1,FALSE,FALSE,FALSE,ns_both,0.524006736323778,0.524006736323778
FBgn0259831,0.277964432161991,0.832462918900226,-0.245211102730343,1,FALSE,FALSE,FALSE,ns_both,-0.523175534892334,0.523175534892334
FBgn0266488,-0.521925522551785,0.599765592812162,0,1,FALSE,FALSE,FALSE,ns_both,0.521925522551785,0.521925522551785
FBgn0001991,-0.0724539884269371,0.869236447722828,0.445782581195756,0.00318300602535253,FALSE,FALSE,FALSE,ns_both,0.518236569622693,0.518236569622693
FBgn0035495,-0.219025430684185,0.246334048238117,0.289518933319121,0.0704628379500954,FALSE,FALSE,FALSE,ns_both,0.508544364003306,0.508544364003306
FBgn0026778,-0.49886273737674,0.346840083879531,0,1,FALSE,FALSE,FALSE,ns_both,0.49886273737674,0.49886273737674
FBgn0030773,-0.332697233244531,0.845330054163357,0.153599930419643,1,FALSE,FALSE,FALSE,ns_both,0.48629716366417397,0.48629716366417397
FBgn0032835,-0.373956983182527,0.834228352013537,0.10872415381447,1,FALSE,FALSE,FALSE,ns_both,0.482681136996997,0.482681136996997
FBgn0260775,-0.472008214432467,0.022391227007438,0,1,FALSE,FALSE,FALSE,ns_both,0.472008214432467,0.472008214432467
FBgn0052669,-0.122681578523581,0.880341448764084,0.348637478980018,0.779821742811494,FALSE,FALSE,FALSE,ns_both,0.47131905750359904,0.47131905750359904
FBgn0266175,-0.469170929530009,0.910799417794429,0,1,FALSE,FALSE,FALSE,ns_both,0.469170929530009,0.469170929530009
FBgn0033405,0.0606906132964716,0.832333106159595,-0.407091658182124,0.0442349769224629,FALSE,FALSE,FALSE,ns_both,-0.46778227147859563,0.46778227147859563
FBgn0051115,0.467688124377965,0.359710274792888,0,1,FALSE,FALSE,FALSE,ns_both,-0.467688124377965,0.467688124377965
FBgn0264562,0.387129930482628,0.315392309988506,-0.0795539416608157,1,FALSE,FALSE,FALSE,ns_both,-0.4666838721434437,0.4666838721434437
FBgn0040077,-0.46655817930328,0.0153856623154187,0,1,FALSE,FALSE,FALSE,ns_both,0.46655817930328,0.46655817930328
FBgn0032404,-0.463989789338166,0.00292467147275811,0,1,FALSE,FALSE,FALSE,ns_both,0.463989789338166,0.463989789338166
FBgn0040513,-0.463697848957025,0.0795451132211527,0,1,FALSE,FALSE,FALSE,ns_both,0.463697848957025,0.463697848957025
FBgn0261016,0.427867641176208,0.428692811745114,-0.032718040599894,1,FALSE,FALSE,FALSE,ns_both,-0.46058568177610204,0.46058568177610204
FBgn0039945,0.457964435336825,9.4826176349055e-4,0,1,FALSE,FALSE,FALSE,ns_both,-0.457964435336825,0.457964435336825
FBgn0002948,0.05308626687034,0.94845429181862,-0.403605169749672,0.722721703882525,FALSE,FALSE,FALSE,ns_both,-0.456691436620012,0.456691436620012
FBgn0260401,-0.451473755831962,0.331621900903468,0,1,FALSE,FALSE,FALSE,ns_both,0.451473755831962,0.451473755831962
FBgn0034758,-0.449409305654717,0.75829526097368,0,1,FALSE,FALSE,FALSE,ns_both,0.449409305654717,0.449409305654717
FBgn0032472,-0.154754390233362,0.93978240356154,0.291955816323332,0.939303253474758,FALSE,FALSE,FALSE,ns_both,0.446710206556694,0.446710206556694
FBgn0003390,-0.274110207850787,0.767236610609471,0.172284877260799,0.986409372514425,FALSE,FALSE,FALSE,ns_both,0.446395085111586,0.446395085111586
FBgn0023520,0.139235053083982,0.48029222393557103,-0.306594991663076,0.474720251268943,FALSE,FALSE,FALSE,ns_both,-0.445830044747058,0.445830044747058
FBgn0037913,-0.098120855426426,0.767693798388939,0.347376212212101,0.104571015165388,FALSE,FALSE,FALSE,ns_both,0.44549706763852703,0.44549706763852703
FBgn0032773,-0.253334209206778,0.881285141428516,0.184859229784834,1,FALSE,FALSE,FALSE,ns_both,0.438193438991612,0.438193438991612
FBgn0031254,-0.279467770857941,0.832885517915459,0.157871192153296,1,FALSE,FALSE,FALSE,ns_both,0.437338963011237,0.437338963011237
FBgn0042182,0.430361556489385,0.186642489247397,0,1,FALSE,FALSE,FALSE,ns_both,-0.430361556489385,0.430361556489385
FBgn0033261,0.23421526267502,0.503379498904258,-0.19497595184692,0.581222054676855,FALSE,FALSE,FALSE,ns_both,-0.42919121452194,0.42919121452194
FBgn0033243,0.10425186064497,0.910799417794429,-0.323732571248715,1,FALSE,FALSE,FALSE,ns_both,-0.427984431893685,0.427984431893685
FBgn0028396,-0.342834110331436,0.935035441246268,0.0845259985822875,1,FALSE,FALSE,FALSE,ns_both,0.4273601089137235,0.4273601089137235
FBgn0024182,0.427326729321359,0.214735699189258,0,1,FALSE,FALSE,FALSE,ns_both,-0.427326729321359,0.427326729321359
FBgn0022770,-0.0889196520398239,0.944065844290822,0.337733291426182,0.817986515108588,FALSE,FALSE,FALSE,ns_both,0.4266529434660059,0.4266529434660059
FBgn0260233,-0.425696199433984,0.158239981785492,0,1,FALSE,FALSE,FALSE,ns_both,0.425696199433984,0.425696199433984
FBgn0045980,-0.413804419498157,0.550705585655652,0.0113725537588656,1,FALSE,FALSE,FALSE,ns_both,0.4251769732570226,0.4251769732570226
