FBgn,logFC_Tutorial,qval_Tutorial,logFC_edgeR,qval_edgeR,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0033471,1.02347965037038,0.635836459052177,-0.108524740833937,0.798502302390852,FALSE,FALSE,FALSE,ns_both,-1.132004391204317,1.132004391204317
FBgn0000477,-0.907670628095302,0.613278263980313,0.223098191663638,0.892774688227342,FALSE,FALSE,FALSE,ns_both,1.13076881975894,1.13076881975894
FBgn0038299,-0.307221088744384,0.911790615770718,0.745190351420251,0.663414610836022,FALSE,FALSE,FALSE,ns_both,1.052411440164635,1.052411440164635
FBgn0040734,-0.22018112464226,0.94450884118737,0.828077476010347,0.677486510714774,FALSE,FALSE,FALSE,ns_both,1.048258600652607,1.048258600652607
FBgn0038421,-0.163197103853883,0.552335609796274,0.801829307283057,0.0816082581817757,FALSE,FALSE,FALSE,ns_both,0.96502641113694,0.96502641113694
FBgn0040582,-0.583038748283145,0.814599415865336,0.381189690726094,0.824472269987333,FALSE,FALSE,FALSE,ns_both,0.9642284390092389,0.9642284390092389
FBgn0067905,-0.503001339019636,0.840478185659294,0.403231549984343,0.824700185306435,FALSE,FALSE,FALSE,ns_both,0.906232889003979,0.906232889003979
FBgn0052523,-0.0924913150318505,0.96984148241902,0.813298020233902,0.479473658227267,FALSE,FALSE,FALSE,ns_both,0.9057893352657524,0.9057893352657524
FBgn0040736,-0.559063717982447,0.805876719395371,0.329434792323111,0.846874969716789,FALSE,FALSE,FALSE,ns_both,0.888498510305558,0.888498510305558
FBgn0045852,0.790315328391141,0.532995272249142,-0.0506389440894226,0.866540531749431,FALSE,FALSE,FALSE,ns_both,-0.8409542724805636,0.8409542724805636
FBgn0034331,-0.722919411182132,0.743430318673691,0.0937535609676454,0.957922077747657,FALSE,FALSE,FALSE,ns_both,0.8166729721497774,0.8166729721497774
FBgn0040735,-0.111701581325819,0.959566004106409,0.664599287317098,0.626757878468458,FALSE,FALSE,FALSE,ns_both,0.776300868642917,0.776300868642917
FBgn0013263,-0.16156998995273,0.419027530808915,0.613794903718322,0.079775132460699,FALSE,FALSE,FALSE,ns_both,0.775364893671052,0.775364893671052
FBgn0014865,-0.687892678881917,0.840478185659294,0.0860452245285038,0.971584209351974,FALSE,FALSE,FALSE,ns_both,0.7739379034104208,0.7739379034104208
FBgn0263083,-0.609647668873312,0.767586398197738,0.104749357866388,0.946495554137026,FALSE,FALSE,FALSE,ns_both,0.7143970267397,0.7143970267397
FBgn0260474,-0.395394630379397,0.859467206974024,0.31331947589693,0.835659468979662,FALSE,FALSE,FALSE,ns_both,0.7087141062763269,0.7087141062763269
FBgn0034512,-0.274693285020582,0.870966043785123,0.35466879845871,0.764414346353774,FALSE,FALSE,FALSE,ns_both,0.629362083479292,0.629362083479292
FBgn0040653,-0.434592154965014,0.837657150061313,0.192768007775657,0.907244388957209,FALSE,FALSE,FALSE,ns_both,0.6273601627406711,0.6273601627406711
FBgn0010385,-0.158467359759247,0.96013495023279,0.449533687262953,0.744144372465544,FALSE,FALSE,FALSE,ns_both,0.6080010470222,0.6080010470222
FBgn0264776,-0.218728234899735,0.915014286340549,0.319821828647572,0.806572459882113,FALSE,FALSE,FALSE,ns_both,0.5385500635473071,0.5385500635473071
FBgn0035495,-0.219025430684185,0.246334048238117,0.305982664241785,0.0879015992988936,FALSE,FALSE,FALSE,ns_both,0.52500809492597,0.52500809492597
FBgn0001991,-0.0724539884269371,0.869236447722828,0.448949722996888,0.172901524654191,FALSE,FALSE,FALSE,ns_both,0.5214037114238251,0.5214037114238251
FBgn0030773,-0.332697233244531,0.845330054163357,0.170655014786582,0.870186769649545,FALSE,FALSE,FALSE,ns_both,0.503352248031113,0.503352248031113
FBgn0032835,-0.373956983182527,0.834228352013537,0.122316195517651,0.925690225126922,FALSE,FALSE,FALSE,ns_both,0.496273178700178,0.496273178700178
FBgn0036188,0.344494423998809,0.150177849422104,-0.130607655215611,0.597702820533402,FALSE,FALSE,FALSE,ns_both,-0.47510207921441994,0.47510207921441994
FBgn0032472,-0.154754390233362,0.93978240356154,0.309168764879908,0.821947977623057,FALSE,FALSE,FALSE,ns_both,0.46392315511327,0.46392315511327
FBgn0051864,-0.058593093528421,0.900003291462018,0.401532706441238,0.28098091849266,FALSE,FALSE,FALSE,ns_both,0.460125799969659,0.460125799969659
FBgn0032773,-0.253334209206778,0.881285141428516,0.197639674064729,0.869738753670624,FALSE,FALSE,FALSE,ns_both,0.450973883271507,0.450973883271507
